Title,Description,Artist,Culture,Countries,Teaser Text,Url,Image,regulerImage,largeImage,date,Date - century,medium,medium,accessionNumber,galleryInformation
Jar with dragon and stylized character for longevity (shou), ,,China,China,Date: 16th century Accession Number: 20.144 ,/art/collection/search/53828?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=354,https://images.metmuseum.org/CRDImages/as/mobile-large/DP225254.jpg,as/web-additional/DP225254.jpg,as/web-large/DP225254.jpg,16th century,16th century,Porcelain painted in underglaze blue,Porcelain,20.144,Not on view
Top fragment of a kudurru with a mushhushshu dragon and divine symbols, ,,,,Date: ca. 1156–1025 BCE Accession Number: 1985.45 ,/art/collection/search/327048?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=355,https://images.metmuseum.org/CRDImages/an/mobile-large/DP360675.jpg,an/web-additional/DP360675.jpg,an/web-large/DP360675.jpg,ca. 1156–1025 BCE,12th century BCE,Limestone,Limestone,1985.45,Not on view
Case (Inrō) with Design of Dragon (obverse); Tiger (reverse), ,,Japan,Japan,Date: 17th–18th century Accession Number: 12.134.19 ,/art/collection/search/58520?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=356,https://images.metmuseum.org/CRDImages/as/mobile-large/12_134_19_O3.JPG,as/web-additional/12_134_19_O3.JPG,as/web-large/12_134_19_O3.JPG,17th–18th century,17th century,"Lacquer, roiro, brown, black, red and gold hiramakie,  applied metal; Interior: nashiji and fundame",Lacquer,12.134.19,Not on view
Dragon,"In the style of Muqi (Chinese, active ca. 1250–80)",Muqi,Korea or possibly Japan,Korea,"In the style of Muqi (Chinese, active ca. 1250–80)  Date: 16th or 17th century Accession Number: 12.123.2 ",/art/collection/search/40070?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=357,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-1308-002.jpg,as/web-additional/DP-1308-002.jpg,as/web-large/DP-1308-002.jpg,16th or 17th century,16th century,Hanging scroll; ink on silk,Silk,12.123.2,Not on view
"A lion, dragon and fox fighting each other, an inscribed banderole above, an oval composition","Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)",Marco Dente,,,"Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)  Date: ca. 1515–27 Accession Number: 1986.1180.217 ",/art/collection/search/342510?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=358,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818727.jpg,dp/web-additional/DP818727.jpg,dp/web-large/DP818727.jpg,ca. 1515–27,16th century,Engraving,Engraving,1986.1180.217,Not on view
Case (Inrō) with Design of Dragon in Clouds Emerging from Waves before Mount Fuji, ,,Japan,Japan,Date: 19th century Accession Number: 29.100.800 ,/art/collection/search/58632?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=359,https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_800_O3.JPG,as/web-additional/29_100_800_O3.JPG,as/web-large/29_100_800_O3.JPG,19th century,19th century,"Lacquer, kinji, nashiji, gold, silver and black hiramakie, togidashi; Interior: nashiji and fundame",Lacquer,29.100.800,Not on view
Case (Inrō) with Design of Children in a Circle around a Dragon Pond, ,,Japan,Japan,Date: 18th century Accession Number: 29.100.797 ,/art/collection/search/58706?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=360,https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_797_O3.JPG,as/web-additional/29_100_797_O3.JPG,as/web-large/29_100_797_O3.JPG,18th century,18th century,"Lacquer, roiro, gold and silver togidashi, nashiji; Interior: nashiji and fundame",Lacquer,29.100.797,Not on view
"Saint Bernard standing holding an open book, a chained dragon at the lower right, from the series ""Piccoli Santi"" (Small Saints)","Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))",Marcantonio Raimondi,,,"Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))  Date: ca. 1500–1527 Accession Number: 57.581.47 ",/art/collection/search/342574?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=361,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP853510.jpg,dp/web-additional/DP853510.jpg,dp/web-large/DP853510.jpg,ca. 1500–1527,16th century,Engraving,Engraving,57.581.47,Not on view
Case (Inrō) with Design of Dragon among Clouds and Waves with Birds in Flight, ,,Japan,Japan,Date: 19th century Accession Number: 29.100.821 ,/art/collection/search/58727?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=362,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-29_100_821-001.jpg,as/web-additional/LC-29_100_821-001.jpg,as/web-large/LC-29_100_821-001.jpg,19th century,19th century,"Ivory, carved relief, incised, stained, aogai inlay; Interior: nashiji",Ivory,29.100.821,Not on view
"""Rustam Fights the Dragon (Rustam""s Third Course)"", Folio from a Shahnama (Book of Kings)","Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)",Abu'l Qasim Firdausi,,,"Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)  Date: ca. 1330–40 Accession Number: 2003.330.1 ",/art/collection/search/454874?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=363,https://images.metmuseum.org/CRDImages/is/mobile-large/DP215910.jpg,is/web-additional/DP215910.jpg,is/web-large/DP215910.jpg,ca. 1330–40,14th century,"Ink, opaque watercolor, and gold on paper",Paper,2003.330.1,Not on view
"A lion, dragon and fox fighting each other, boats on the sea in the background, an oval composition","Anonymous, Italian, 16th to early 17th century ","Anonymous, Italian, 16th to early 17th century",,,"Anonymous, Italian, 16th to early 17th century Date: ca. 1515–1600 Accession Number: 51.501.639 ",/art/collection/search/342512?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=364,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818728.jpg,dp/web-additional/DP818728.jpg,dp/web-large/DP818728.jpg,ca. 1515–1600,16th century,Engraving,Engraving,51.501.639,Not on view
Case (Inrō) with Design of Chōryo and Kosekiko with the Shoe and the Dragon, ,,Japan,Japan,Date: 19th century Accession Number: 31.49.11 ,/art/collection/search/58863?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=365,https://images.metmuseum.org/CRDImages/as/mobile-large/31_49_11_O3.JPG,as/web-additional/31_49_11_O3.JPG,as/web-large/31_49_11_O3.JPG,19th century,19th century,"Lacquer, kinji, gold, silver, black and brown hiramakie, kirigane, metal inlay; Interior: nashiji and fundame",Lacquer,31.49.11,Not on view
The Servants of the Dragon King of the Sea: Fish and Shells (Tatsu no miyatsuko gyokai fu) 龍の宮津子魚貝譜,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)",Kuwagata Keisai 鍬形蕙斎,Japan,Japan,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)  Date: 1802, early autumn, (Kyōwa 2) Accession Number: 2013.777 ",/art/collection/search/78679?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=366,https://images.metmuseum.org/CRDImages/as/mobile-large/2013_777_03_crd.jpg,as/web-additional/2013_777_03_crd.jpg,as/web-large/2013_777_03_crd.jpg,"1802, early autumn, (Kyōwa 2)",19th century,"Woodblock printed book; ink, color and mica on paper",Paper,2013.777,Not on view
Original Woodblocks for the Servants of the Dragon King of the Sea: Fish and Shells (Tatsu no miyatsuko gyokai fu) 草花略画式,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)",Kuwagata Keisai 鍬形蕙斎,Japan,Japan,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)  Date: ca. 1800 Accession Number: 2013.776a–d ",/art/collection/search/78678?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=367,https://images.metmuseum.org/CRDImages/as/mobile-large/2013_776_a_d_a_01_crd.jpg,as/web-additional/2013_776_a_d_a_01_crd.jpg,as/web-large/2013_776_a_d_a_01_crd.jpg,ca. 1800,19th century,Four woodblocks for printed books,Woodblock,2013.776a–d,Not on view
The Servants of the Dragon King of the Sea: Fish and Shells (Tatsu no miyatsuko gyokai fu) 龍の宮津子魚貝譜,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)",Kuwagata Keisai 鍬形蕙斎,Japan,Japan,"Kuwagata Keisai 鍬形蕙斎 (Japanese, 1764–1824)  Date: 1802, early autumn, (Kyōwa 2) Accession Number: 2013.778 ",/art/collection/search/78680?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=368,https://images.metmuseum.org/CRDImages/as/mobile-large/2013_778_14_crd.jpg,as/web-additional/2013_778_14_crd.jpg,as/web-large/2013_778_14_crd.jpg,"1802, early autumn, (Kyōwa 2)",19th century,Woodblock printed book; ink and color on paper,Paper,2013.778,Not on view
Dragon in the Clouds,"Unidentified artist Chinese, 16th century ",Unidentified artist,China,China,"Unidentified artist Chinese, 16th century Accession Number: 18.124.7 ",/art/collection/search/51529?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=369,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Framed painting; ink and color on paper,Paper,18.124.7,Not on view
Dragon Figure, ,,Ngadju or Ot Danum peoples,Indonesia,Date: early to mid-20th century Accession Number: 1997.420.6a-e ,/art/collection/search/317843?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=370,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,early to mid-20th century,20th century,"Wood, paint",Wood,1997.420.6a-e,Not on view
Saint George and the Dragon,"Lucas Vorsterman I (Flemish, Zaltbommel 1595–1675 Antwerp)",Lucas Vorsterman I,,,"Lucas Vorsterman I (Flemish, Zaltbommel 1595–1675 Antwerp)  Date: 1627 Accession Number: 41.1.213 ",/art/collection/search/387870?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=371,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1627,17th century,Engraving; only state,Engraving,41.1.213,Not on view
Case (Inrō) with Design of Chinese Sage beside and Ox (obverse); Dragon in Clouds over a Waterfall (reverse), ,,Japan,Japan,Date: 19th century Accession Number: 29.100.764 ,/art/collection/search/58675?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=372,https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_764_O3.JPG,as/web-additional/29_100_764_O3.JPG,as/web-large/29_100_764_O3.JPG,19th century,19th century,"Lacquer, kinji, nashiji, gold and silver hiramakie, takamakie, metal inlay; Interior: gyobu nashiji and fundame",Lacquer,29.100.764,Not on view
Case (Inrō) with Design of Urashima Tarō Riding a Fish among Waves (obverse); Dragon King and His Daughter on Shore (reverse), ,,Japan,Japan,Date: 19th century Accession Number: 29.100.827 ,/art/collection/search/58733?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=373,https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_827_O4.JPG,as/web-additional/29_100_827_O4.JPG,as/web-large/29_100_827_O4.JPG,19th century,19th century,"Metal, silver metal, incised, openwork, relief, applied metals; Interior: silver metal",Metal,29.100.827,Not on view
Case (Inrō) with Design of Magician Handaka Sonja Seated beneath Tree (obverse); Karako Pointing at Dragon in Sky (reverse), ,,Japan,Japan,Date: 19th century Accession Number: 13.67.77 ,/art/collection/search/58606?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=374,https://images.metmuseum.org/CRDImages/as/mobile-large/13_67_77_O3.JPG,as/web-additional/13_67_77_O3.JPG,as/web-large/13_67_77_O3.JPG,19th century,19th century,"Lacquer, kinji, gold, silver, brown and red hiramakie, metal inlay; Interior: nashiji and fundame",Lacquer,13.67.77,Not on view
Dragon Robe, ,,China,China,Date: 18th century Accession Number: 1984.408.8 ,/art/collection/search/70773?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=375,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,"Silk, metallic thread",Silk,1984.408.8,Not on view
Dragon Robe, ,,China,China,Date: 18th century Accession Number: 1984.408.7 ,/art/collection/search/70772?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=376,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,Silk,Silk,1984.408.7,Not on view
St. George Fighting the Dragon,"Abraham Cooper (British, London 1787–1868 Greenwich)",Abraham Cooper,,,"Abraham Cooper (British, London 1787–1868 Greenwich)  Date: 1800–1868 Accession Number: 23.68.1(23b) ",/art/collection/search/363006?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=377,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1800–1868,19th century,Graphite,Graphite,23.68.1(23b),Not on view
St. George Slaying the Dragon,"(?) Francis Barlow (British, Lincolnshire ca. 1626–1704 London)",Francis Barlow,,,"(?) Francis Barlow (British, Lincolnshire ca. 1626–1704 London)  Date: 17th century Accession Number: 17.50.15-18 ",/art/collection/search/430486?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=378,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th century,17th century,Etching,Etching,17.50.15-18,Not on view
"Prudence as a young woman, sitting on a lion and holding the neck of a dragon with her left hand, holding a mirror in her right hand","Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))",Marcantonio Raimondi,,,"Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))  Date: ca. 1510–27 Accession Number: 30.54.80 ",/art/collection/search/342646?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=379,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP854367.jpg,dp/web-additional/DP854367.jpg,dp/web-large/DP854367.jpg,ca. 1510–27,16th century,Engraving,Engraving,30.54.80,Not on view
Saint Michael Fighting the Dragon,"Pieter de Jode I (Netherlandish, Antwerp 1570–Antwerp 1634)",Pieter de Jode I,,,"Pieter de Jode I (Netherlandish, Antwerp 1570–Antwerp 1634)  Date: 17th century Accession Number: 49.95.2463 ",/art/collection/search/644950?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=380,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th century,17th century,Engraving,Engraving,49.95.2463,Not on view
St. George and the Dragon,"Daniel Hopfer (German, Kaufbeuren 1471–1536 Augsburg)",Daniel Hopfer,,,"Daniel Hopfer (German, Kaufbeuren 1471–1536 Augsburg)  Date: ca. 1520 Accession Number: 51.501.380 ",/art/collection/search/373031?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=381,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1520,16th century,Etching; second state of two,Etching,51.501.380,Not on view
Saint George attacking the Dragon,"Giuseppe Scolari (Italian, active Venice, 1562–1607)",Giuseppe Scolari,,,"Giuseppe Scolari (Italian, active Venice, 1562–1607)  Date: 1590–1607 Accession Number: 22.73.3-151 ",/art/collection/search/654304?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=382,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1590–1607,16th century,Woodcut,Wood,22.73.3-151,Not on view
"Plate 5: a cartouche with a blank escutcheon at top center, a chimera to either side, their bodies ending in scrollwork and dragon tails, from ""Twelve cartouches"" (Recueil de douze cartouches)","François Collignon (French, Nancy ca. 1610–1687 Rome)",François Collignon,,,"François Collignon (French, Nancy ca. 1610–1687 Rome)  Date: ca. 1640–45 Accession Number: 2012.136.392.5 ",/art/collection/search/397482?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=383,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP832448.jpg,dp/web-additional/DP832448.jpg,dp/web-large/DP832448.jpg,ca. 1640–45,17th century,Etching; second state of four,Etching,2012.136.392.5,Not on view
St. George and the Dragon,"James Gillray (British, London 1756–1815 London)",James Gillray,,,"James Gillray (British, London 1756–1815 London)  Date: August 2, 1805 Accession Number: 42.121(96) ",/art/collection/search/393073?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=384,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,"August 2, 1805",19th century,Hand-colored etching and aquatint,Etching and aquatint,42.121(96),Not on view
"The Courtesan Hanatsuru of the Higashiōgiya Brothel as the Dragon Princess Otohime, from the series Costume Parade of the Shinmachi Quarter in Osaka (Ōsaka Shinmachi nerimono)","Yanagawa Shigenobu 柳川重信 (Japanese, 1787–1832)",Yanagawa Shigenobu 柳川重信,Japan,Japan,"Yanagawa Shigenobu 柳川重信 (Japanese, 1787–1832)  Date: 1822 Accession Number: 2020.309 ",/art/collection/search/845812?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=385,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24929-001.jpg,as/web-additional/DP-24929-001.jpg,as/web-large/DP-24929-001.jpg,1822,19th century,Woodblock print (nishiki-e); ink and color on paper; vertical ōban,Paper,2020.309,Not on view
Saint George and the Dragon,"Anton Boys (Netherlandish, 1530–ca. 1600)",Anton Boys,,,"Anton Boys (Netherlandish, 1530–ca. 1600)  Date: 1600 Accession Number: 1996.434 ",/art/collection/search/360106?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=386,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1600,17th century,Engraving,Engraving,1996.434,Not on view
St. George and the Dragon,"Diana Scultori (Italian, Mantua ca. 1535?–after 1588 Rome)",Diana Scultori,,,"Diana Scultori (Italian, Mantua ca. 1535?–after 1588 Rome)  Accession Number: 49.97.491 ",/art/collection/search/396619?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=387,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Engraving,Engraving,49.97.491,Not on view
Dragon de la Garde Impériale,"Nicolas-Toussaint Charlet (French, Paris 1792–1845 Paris)",Nicolas-Toussaint Charlet,,,"Nicolas-Toussaint Charlet (French, Paris 1792–1845 Paris)  Date: 19th century Accession Number: 23.94.3 ",/art/collection/search/840364?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=388,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,19th century,19th century,Lithograph,Lithograph,23.94.3,Not on view
Saint George and the Dragon,"Salvador Dalí (Spanish, Figueres 1904–1989 Figueres)",Salvador Dalí,,,"Salvador Dalí (Spanish, Figueres 1904–1989 Figueres)  Date: 1947 Accession Number: 47.132.1 ",/art/collection/search/727816?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=389,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1947,20th century,Etching,Etching,47.132.1,Not on view
Dragon Robe, ,,China,China,Date: 18th century Accession Number: 1984.485.2 ,/art/collection/search/70775?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=390,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,"Silk, metallic thread",Silk,1984.485.2,Not on view
Ewer with Captive and Dragon,"Johannes Teyler (Dutch, Nijmegen 1648– ca.1709)",Johannes Teyler,,,"Johannes Teyler (Dutch, Nijmegen 1648– ca.1709)  Date: 1665–1709 Accession Number: 60.611.131 ",/art/collection/search/889046?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=391,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1665–1709,17th century,"Etching and engraving, inked à la poupée in brown, red, orange, and green",Etching and engraving,60.611.131,Not on view
The Dragon,In the style of Chen Rong (active 1235–62),Chen Rong,China,China,In the style of Chen Rong (active 1235–62)  Accession Number: 23.142.1 ,/art/collection/search/51546?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=392,https://images.metmuseum.org/CRDImages/as/mobile-large/53381.jpg,as/web-additional/53381.jpg,as/web-large/53381.jpg,,,"Hanging scroll, framed; ink on silk",Silk,23.142.1,Not on view
Funerary Dragon Robe, ,,China,China,Date: late 18th–early 19th century Accession Number: 42.109 ,/art/collection/search/69455?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=393,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,late 18th–early 19th century,18th century,Silk,Silk,42.109,Not on view
Textile with Dragon,Accession Number: 36.65.34 ,,China,China,Accession Number: 36.65.34 ,/art/collection/search/64125?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=394,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Silk embroidery on silk satin,Silk satin,36.65.34,Not on view
Battle between eagles and a dragon,"Carlo Bianconi (Italian, Bologna 1732–1802 Milan)",Carlo Bianconi,,,"Carlo Bianconi (Italian, Bologna 1732–1802 Milan)  Date: 1750–1802 Accession Number: 24.63.1598 ",/art/collection/search/774511?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=395,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1750–1802,18th century,Etching,Etching,24.63.1598,Not on view
Imperial Dragon Robe, ,,China,China,Date: 18th century Accession Number: 1972.19 ,/art/collection/search/70523?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=396,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,"Silk, metallic thread",Silk,1972.19,Not on view
"St. George, Venus, and Vanquished Dragon","Max Thalmann (German, Rudolstadt 1890–1944 Jena)",Max Thalmann,,,"Max Thalmann (German, Rudolstadt 1890–1944 Jena)  Date: 1913 Accession Number: 2020.381.8 ",/art/collection/search/841871?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=397,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1913,20th century,Graphite and white chalk on green paper,Paper,2020.381.8,Not on view
Ewer with Dragon,"Style of Makuzu Kōzan I (Miyagawa Toranosuke) (Japanese, 1842–1916)",Makuzu Kōzan I (Miyagawa Toranosuke),Japan,Japan,"Style of Makuzu Kōzan I (Miyagawa Toranosuke) (Japanese, 1842–1916)  Date: late 19th century Accession Number: 93.3.364a, b ",/art/collection/search/45997?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=398,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-13919-001.jpg,as/web-additional/DP-13919-001.jpg,as/web-large/DP-13919-001.jpg,late 19th century,19th century,"Porcelain with underglaze blue

","Porcelain

","93.3.364a, b",Not on view
Imperial Dragon Robe,Accession Number: 43.91 ,,China,China,Accession Number: 43.91 ,/art/collection/search/69541?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=399,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,"Silk, metallic thread",Silk,43.91,Not on view
"Luohans with Acolytes, Servants, Green Dragon and Tiger",Unidentified artist ,Unidentified artist,China,China,Unidentified artist Accession Number: 47.18.46 ,/art/collection/search/51665?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=400,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Handscroll; ink and color on silk,Silk,47.18.46,Not on view
Vase with dragon, ,,China,China,Date: late 18th century Accession Number: 29.149.50 ,/art/collection/search/50899?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=101,https://images.metmuseum.org/CRDImages/as/mobile-large/29_149_50_O1_sf.jpg,as/web-additional/29_149_50_O1_sf.jpg,as/web-large/29_149_50_O1_sf.jpg,late 18th century,18th century,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Porcelain,29.149.50,Not on view
"Tripod with dragon

", ,,China,China,Date: 18th century Accession Number: 02.18.920 ,/art/collection/search/44181?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=102,https://images.metmuseum.org/CRDImages/as/mobile-large/DP289318.jpg,as/web-additional/DP289318.jpg,as/web-large/DP289318.jpg,18th century,18th century,Lapis lazuli,Lapis lazuli,02.18.920,Not on view
"Pendant with dragon

", ,,China,China,Date: 20th century Accession Number: 65.86.155 ,/art/collection/search/43348?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=103,https://images.metmuseum.org/CRDImages/as/mobile-large/184068.jpg,as/web-additional/184068.jpg,as/web-large/184068.jpg,20th century,20th century,Jade (jadeite),Jade (jadeite),65.86.155,Not on view
Tile with dragon, ,,"Italian, Rome",Italy,Date: ca. 1617–27 Accession Number: 2012.92 ,/art/collection/search/238924?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=104,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-22351-001.jpg,es/web-additional/DP-22351-001.jpg,es/web-large/DP-22351-001.jpg,ca. 1617–27,17th century,Maiolica (tin-glazed earthenware),Maiolica (tin-glazed earthenware),2012.92,Not on view
Model of Dragon,Accession Number: 1994.605.81 ,,China,China,Accession Number: 1994.605.81 ,/art/collection/search/44382?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=105,https://images.metmuseum.org/CRDImages/as/mobile-large/272401.jpg,as/web-additional/272401.jpg,as/web-large/272401.jpg,,,Stoneware,Stoneware,1994.605.81,Not on view
Bowl with dragon, ,,China,China,Date: late 18th century Accession Number: 79.2.920 ,/art/collection/search/46878?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=106,https://images.metmuseum.org/CRDImages/as/mobile-large/29258.jpg,as/web-additional/29258.jpg,as/web-large/29258.jpg,late 18th century,18th century,Porcelain painted in gilt over blue glaze (Jingdezhen ware),Porcelain,79.2.920,Not on view
The Twelve Dragon Guests,"Hu Xingju (Chinese,)",Hu Xingju,China,China,"Hu Xingju (Chinese,)  Accession Number: 30.76.209 ",/art/collection/search/41789?&searchField=Title&ft=Dragon&offset=100&rpp=100&amp;pos=107,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_209_F.jpg,as/web-additional/30_76_209_F.jpg,as/web-large/30_76_209_F.jpg,,,Ink,Ink,30.76.209,Not on view
