Title,Description,Artist,Culture,Countries,Teaser Text,Url,Image,regulerImage,largeImage,date,Date - century,medium,medium,accessionNumber,galleryInformation
Panel with Four-Clawed Dragon, ,,China,China,Date: 17th century Accession Number: 1989.206 ,/art/collection/search/44588?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=413,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th century,17th century,Silk and gold-wrapped silk,Silk,1989.206,Not on view
Saint George and the Dragon,Attributed to Hans von Judenburg (Austrian),Hans von Judenburg,Austrian,Austria,Attributed to Hans von Judenburg (Austrian)  Date: ca. 1420 Accession Number: 64.280 ,/art/collection/search/471926?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=414,https://images.metmuseum.org/CRDImages/cl/mobile-large/18207.jpg,cl/web-additional/18207.jpg,cl/web-large/18207.jpg,ca. 1420,15th century,"Chestnut, paint, gilt",Chestnut,64.280,Not on view
"Dragon Boat Festival, or Feast of the Fifth Month, Fifth Day",Unidentified artist ,Unidentified artist,China,China,Unidentified artist Accession Number: 45.123.1 ,/art/collection/search/53566?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=415,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,,,Hanging scroll; ink and color on silk,Silk,45.123.1,Not on view
Saint Margaret and the Dragon,"Workshop of Agnolo Gaddi (Italian, Florentine, active by 1369–died 1396)",Agnolo Gaddi,,,"Workshop of Agnolo Gaddi (Italian, Florentine, active by 1369–died 1396)  Date: ca. 1390 Accession Number: 41.190.23 ",/art/collection/search/436429?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=416,https://images.metmuseum.org/CRDImages/ep/mobile-large/SF Gaddi.jpg,ep/web-additional/SF Gaddi.jpg,ep/web-large/SF Gaddi.jpg,ca. 1390,14th century,"Tempera on wood, gold ground",Wood,41.190.23,Not on view
St. George and the Dragon,Style of Whieldon type ,Whieldon type,British,Britain,Style of Whieldon type Date: ca. 1750 Accession Number: 12.142.16 ,/art/collection/search/191978?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=417,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-15624-013.jpg,es/web-additional/DP-15624-013.jpg,es/web-large/DP-15624-013.jpg,ca. 1750,18th century,Glazed pottery,Glazed pottery,12.142.16,Not on view
Saint George and the Dragon,"Attributed to Hans Klocker (Austrian, active 1474–1502) (under the influence of Michael Pacher)",Hans Klocker,Austrian or South German,Austria,"Attributed to Hans Klocker (Austrian, active 1474–1502)  (under the influence of Michael Pacher) Date: ca. 1475 Accession Number: 1979.379 ",/art/collection/search/466050?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=418,https://images.metmuseum.org/CRDImages/md/mobile-large/sf1979-379s1.jpg,md/web-additional/sf1979-379s1.jpg,md/web-large/sf1979-379s1.jpg,ca. 1475,15th century,"Wood, painted and gilt",Wood,1979.379,Not on view
"Plate 97: Dragon boat, from ""A New Book of Chinese Designs""","Etched and published by Matthew Darly (British, ca. 1720–1780 London)",Matthew Darly,,,"Etched and published by Matthew Darly (British, ca. 1720–1780 London)  Date: 1754 Accession Number: 31.88(99) ",/art/collection/search/760507?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=419,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1754,18th century,Etching and engraving,Etching and engraving,31.88(99),Not on view
Roger and Angelica or Saint George slaying the dragon,"Angiolo Falconetto (Italian, active ca. 1555–67)",Angiolo Falconetto,,,"Angiolo Falconetto (Italian, active ca. 1555–67)  Date: ca. 1555–67 Accession Number: 60.576.8 ",/art/collection/search/830023?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=420,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1555–67,16th century,Etching,Etching,60.576.8,Not on view
"Shakyamuni Emerging from the Mountains, with Dragon and Tiger","Kano Sansetsu 狩野山雪 (Japanese, 1590–1651)",Kano Sansetsu 狩野山雪,Japan,Japan,"Kano Sansetsu 狩野山雪 (Japanese, 1590–1651)  Date: second quarter 17th century Accession Number: 2023.79a–c ",/art/collection/search/872015?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=421,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,second quarter 17th century,17th century,Triptych of hanging scrolls; ink on paper,Paper,2023.79a–c,Not on view
"Plate 62: Jason Putting the Dragon to Sleep (Draconem velleris excubitorem sopit Iason), from Ovid""s ""Metamorphoses""","Antonio Tempesta (Italian, Florence 1555–1630 Rome)",Antonio Tempesta,,,"Antonio Tempesta (Italian, Florence 1555–1630 Rome)  Date: 1606 Accession Number: 51.501.3913 ",/art/collection/search/401071?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=422,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1606,17th century,Etching,Etching,51.501.3913,Not on view
